,checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment_since,installment_rate,gender,marital_status,other_debtors,residence_since,property,age,other_installment_plans,housing,n_credit_cards,job,n_people_liable,telephone,foreign,y
732,1.0,8.0,A32,radio/TV,760.0,0.0,3.0,4.0,female,divorced/separated/married,guarantor,2.0,real_estate,44.0,none,own,1.0,1.0,1.0,none,yes,bad
736,1.0,24.0,A32,car (used),11560.0,0.0,2.0,1.0,female,divorced/separated/married,none,4.0,car or other,23.0,none,rent,2.0,3.0,1.0,none,yes,good
737,0.0,18.0,A32,car (new),4380.0,1.0,2.0,3.0,male,single,none,4.0,car or other,35.0,none,own,1.0,1.0,2.0,yes,yes,bad
739,1.0,30.0,A30,business,4280.0,1.0,2.0,4.0,female,divorced/separated/married,none,4.0,car or other,26.0,none,rent,2.0,1.0,1.0,none,yes,good
740,0.0,24.0,A31,car (new),2325.0,1.0,3.0,2.0,male,single,none,3.0,car or other,32.0,bank,own,1.0,2.0,1.0,none,yes,bad
741,1.0,10.0,A31,radio/TV,1048.0,0.0,2.0,4.0,male,single,none,4.0,real_estate,23.0,stores,own,1.0,1.0,1.0,none,yes,bad
743,0.0,24.0,A31,furniture/equipment,2483.0,2.0,2.0,4.0,male,single,none,4.0,real_estate,22.0,stores,own,1.0,2.0,1.0,yes,yes,bad
745,0.0,13.0,A34,business,1797.0,0.0,1.0,3.0,male,single,none,1.0,building,28.0,bank,own,2.0,1.0,1.0,none,yes,bad
746,0.0,15.0,A32,car (new),2511.0,0.0,0.0,1.0,female,divorced/separated/married,none,4.0,car or other,23.0,none,rent,1.0,2.0,1.0,none,yes,bad
747,0.0,12.0,A32,car (new),1274.0,0.0,1.0,3.0,female,divorced/separated/married,none,1.0,real_estate,37.0,none,own,1.0,1.0,1.0,none,yes,good
750,0.0,6.0,A32,furniture/equipment,428.0,0.0,4.0,2.0,female,divorced/separated/married,none,1.0,building,49.0,bank,own,1.0,2.0,1.0,yes,yes,bad
751,0.0,18.0,A32,car (new),976.0,0.0,1.0,1.0,female,divorced/separated/married,none,2.0,car or other,23.0,none,own,1.0,1.0,1.0,none,yes,good
752,1.0,12.0,A32,business,841.0,1.0,3.0,2.0,female,divorced/separated/married,none,4.0,real_estate,23.0,none,rent,1.0,1.0,1.0,none,yes,bad
756,2.0,6.0,A34,car (new),1299.0,0.0,2.0,1.0,male,single,none,1.0,real_estate,74.0,none,own,3.0,0.0,2.0,none,no,bad
759,0.0,12.0,A34,car (new),691.0,0.0,4.0,4.0,male,single,none,3.0,building,35.0,none,own,2.0,2.0,1.0,none,yes,good
761,0.0,18.0,A34,furniture/equipment,2124.0,0.0,2.0,4.0,female,divorced/separated/married,none,4.0,real_estate,24.0,none,rent,2.0,2.0,1.0,none,yes,good
762,0.0,12.0,A32,radio/TV,2214.0,0.0,2.0,4.0,male,single,none,3.0,building,24.0,none,own,1.0,1.0,1.0,none,yes,bad
765,1.0,12.0,A32,radio/TV,1155.0,0.0,4.0,3.0,male,divorced/separated/married,guarantor,3.0,real_estate,40.0,bank,own,2.0,1.0,1.0,none,yes,bad
766,0.0,30.0,A32,furniture/equipment,3108.0,0.0,1.0,2.0,male,divorced/separated/married,none,4.0,building,31.0,none,own,1.0,1.0,1.0,none,yes,good
768,1.0,12.0,A34,furniture/equipment,3617.0,0.0,4.0,1.0,male,single,none,4.0,car or other,28.0,none,rent,3.0,2.0,1.0,yes,yes,bad
771,0.0,36.0,A34,education,8065.0,0.0,2.0,3.0,female,divorced/separated/married,none,2.0,unknown/none,25.0,none,own,2.0,3.0,1.0,yes,yes,good
774,2.0,12.0,A34,car (new),1480.0,2.0,0.0,2.0,male,single,none,4.0,unknown/none,66.0,bank,free,3.0,0.0,1.0,none,yes,bad
777,0.0,18.0,A32,radio/TV,3509.0,0.0,3.0,4.0,female,divorced/separated/married,guarantor,1.0,real_estate,25.0,none,own,1.0,2.0,1.0,none,yes,bad
779,1.0,18.0,A32,repairs,3872.0,0.0,0.0,2.0,female,divorced/separated/married,none,4.0,car or other,67.0,none,own,1.0,2.0,1.0,yes,yes,bad
780,1.0,39.0,A34,radio/TV,4933.0,0.0,3.0,2.0,male,single,guarantor,2.0,real_estate,25.0,none,own,2.0,2.0,1.0,none,yes,good
782,1.0,12.0,A30,retraining,1410.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,31.0,none,own,1.0,1.0,1.0,yes,yes,bad
783,1.0,12.0,A32,car (new),836.0,1.0,1.0,4.0,female,divorced/separated/married,none,2.0,building,23.0,bank,own,1.0,1.0,1.0,none,yes,good
785,1.0,18.0,A32,business,1941.0,3.0,2.0,4.0,male,single,none,2.0,building,35.0,none,own,1.0,1.0,1.0,yes,yes,bad
788,1.0,48.0,A33,education,6224.0,0.0,4.0,4.0,male,single,none,4.0,unknown/none,50.0,none,free,1.0,2.0,1.0,none,yes,good
789,0.0,40.0,A34,education,5998.0,0.0,2.0,4.0,male,single,none,3.0,unknown/none,27.0,bank,own,1.0,2.0,1.0,yes,yes,good
790,1.0,21.0,A32,business,1188.0,0.0,4.0,2.0,female,divorced/separated/married,none,4.0,building,39.0,none,own,1.0,2.0,2.0,none,yes,good
793,2.0,24.0,A32,furniture/equipment,2892.0,0.0,4.0,3.0,male,divorced/separated/married,none,4.0,unknown/none,51.0,none,free,1.0,2.0,1.0,none,yes,bad
801,1.0,18.0,A34,radio/TV,1795.0,0.0,4.0,3.0,female,divorced/separated/married,guarantor,4.0,real_estate,48.0,bank,rent,2.0,1.0,1.0,yes,yes,bad
802,0.0,20.0,A34,furniture/equipment,4272.0,0.0,4.0,1.0,female,divorced/separated/married,none,4.0,building,24.0,none,own,2.0,2.0,1.0,none,yes,bad
805,0.0,36.0,A32,car (new),9271.0,0.0,3.0,2.0,male,single,none,1.0,car or other,24.0,none,own,1.0,2.0,1.0,yes,yes,good
806,1.0,6.0,A32,radio/TV,590.0,0.0,1.0,3.0,male,divorced/separated/married,none,3.0,real_estate,26.0,none,own,1.0,1.0,1.0,none,no,bad
808,1.0,42.0,A31,car (used),9283.0,0.0,0.0,1.0,male,single,none,2.0,unknown/none,55.0,bank,free,1.0,3.0,1.0,yes,yes,bad
809,1.0,15.0,A30,car (new),1778.0,0.0,1.0,2.0,female,divorced/separated/married,none,1.0,real_estate,26.0,none,rent,2.0,0.0,1.0,none,yes,good
810,1.0,8.0,A32,business,907.0,0.0,1.0,3.0,male,divorced/separated/married,none,2.0,real_estate,26.0,none,own,1.0,2.0,1.0,yes,yes,bad
811,1.0,6.0,A32,radio/TV,484.0,0.0,3.0,3.0,male,divorced/separated/married,guarantor,3.0,real_estate,28.0,bank,own,1.0,1.0,1.0,none,yes,bad
812,0.0,36.0,A34,car (used),9629.0,0.0,3.0,4.0,male,single,none,4.0,car or other,24.0,none,own,2.0,2.0,1.0,yes,yes,good
813,0.0,48.0,A32,domestic_appliances,3051.0,0.0,2.0,3.0,male,single,none,4.0,car or other,54.0,none,own,1.0,2.0,1.0,none,yes,good
814,0.0,48.0,A32,car (new),3931.0,0.0,3.0,4.0,male,single,none,4.0,unknown/none,46.0,none,free,1.0,2.0,2.0,none,yes,good
815,1.0,36.0,A33,car (new),7432.0,0.0,2.0,2.0,female,divorced/separated/married,none,2.0,building,54.0,none,rent,1.0,2.0,1.0,none,yes,bad
819,0.0,18.0,A32,radio/TV,1345.0,0.0,2.0,4.0,male,divorced/separated/married,none,3.0,real_estate,26.0,bank,own,1.0,2.0,1.0,none,yes,good
821,2.0,12.0,A32,radio/TV,3016.0,0.0,2.0,3.0,male,divorced/separated/married,none,1.0,car or other,24.0,none,own,1.0,2.0,1.0,none,yes,bad
822,0.0,36.0,A32,furniture/equipment,2712.0,0.0,4.0,2.0,male,single,none,2.0,building,41.0,bank,own,1.0,2.0,2.0,none,yes,good
823,0.0,8.0,A34,car (new),731.0,0.0,4.0,4.0,male,single,none,4.0,real_estate,47.0,none,own,2.0,1.0,1.0,none,yes,bad
825,0.0,21.0,A34,car (new),1602.0,0.0,4.0,4.0,male,divorced/separated/married,none,3.0,car or other,30.0,none,own,2.0,2.0,1.0,yes,yes,bad
826,0.0,18.0,A34,car (new),3966.0,0.0,4.0,1.0,female,divorced/separated/married,none,4.0,real_estate,33.0,bank,rent,3.0,2.0,1.0,yes,yes,good
831,0.0,18.0,A32,car (new),1216.0,0.0,1.0,4.0,female,divorced/separated/married,none,3.0,car or other,23.0,none,rent,1.0,2.0,1.0,yes,yes,good
832,0.0,45.0,A30,business,11816.0,0.0,4.0,2.0,male,single,none,4.0,car or other,29.0,none,rent,2.0,2.0,1.0,none,yes,good
834,2.0,15.0,A32,radio/TV,2327.0,0.0,1.0,2.0,female,divorced/separated/married,none,3.0,real_estate,25.0,none,own,1.0,1.0,1.0,none,yes,good
835,0.0,12.0,A30,car (new),1082.0,0.0,2.0,4.0,male,single,none,4.0,car or other,48.0,bank,own,2.0,2.0,1.0,none,yes,good
838,0.0,24.0,A34,car (used),2957.0,0.0,4.0,4.0,male,single,none,4.0,building,63.0,none,own,2.0,2.0,1.0,yes,yes,bad
840,0.0,36.0,A32,furniture/equipment,5179.0,0.0,3.0,4.0,male,single,none,2.0,building,29.0,none,own,1.0,2.0,1.0,none,yes,good
848,0.0,9.0,A32,radio/TV,1364.0,0.0,3.0,3.0,male,single,none,4.0,real_estate,59.0,none,own,1.0,2.0,1.0,none,yes,bad
849,0.0,12.0,A32,radio/TV,709.0,0.0,4.0,4.0,male,single,none,4.0,real_estate,57.0,stores,own,1.0,1.0,1.0,none,yes,good
850,0.0,20.0,A34,car (new),2235.0,0.0,2.0,4.0,male,divorced/separated/married,guarantor,2.0,building,33.0,bank,rent,2.0,2.0,1.0,none,no,good
853,0.0,18.0,A31,car (new),1442.0,0.0,3.0,4.0,male,single,none,4.0,unknown/none,32.0,none,free,2.0,1.0,2.0,none,yes,good
858,0.0,15.0,A32,car (new),3959.0,0.0,2.0,3.0,female,divorced/separated/married,none,2.0,building,29.0,none,own,1.0,2.0,1.0,yes,yes,good
862,0.0,24.0,A32,radio/TV,2439.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,real_estate,35.0,none,own,1.0,2.0,1.0,yes,yes,good
866,0.0,18.0,A32,radio/TV,2389.0,0.0,1.0,4.0,female,divorced/separated/married,none,1.0,car or other,27.0,stores,own,1.0,2.0,1.0,none,yes,bad
869,0.0,12.0,A32,furniture/equipment,652.0,0.0,4.0,4.0,female,divorced/separated/married,none,4.0,building,24.0,none,rent,1.0,2.0,1.0,none,yes,bad
871,2.0,6.0,A34,car (new),1343.0,0.0,4.0,1.0,male,single,none,4.0,real_estate,46.0,none,own,2.0,2.0,2.0,none,no,bad
872,0.0,24.0,A34,business,1382.0,1.0,3.0,4.0,male,single,none,1.0,real_estate,26.0,none,own,2.0,2.0,1.0,yes,yes,bad
874,0.0,12.0,A32,furniture/equipment,3590.0,0.0,2.0,2.0,male,single,co-applicant,2.0,building,29.0,none,own,1.0,1.0,2.0,none,yes,bad
875,1.0,11.0,A34,car (new),1322.0,3.0,2.0,4.0,female,divorced/separated/married,none,4.0,car or other,40.0,none,own,2.0,2.0,1.0,none,yes,bad
876,0.0,18.0,A31,radio/TV,1940.0,0.0,1.0,3.0,male,single,co-applicant,4.0,unknown/none,36.0,bank,free,1.0,3.0,1.0,yes,yes,bad
878,0.0,9.0,A32,car (new),1422.0,0.0,1.0,3.0,male,single,none,2.0,unknown/none,27.0,none,free,1.0,3.0,1.0,yes,yes,good
884,1.0,24.0,A32,furniture/equipment,4057.0,0.0,3.0,3.0,male,divorced/separated/married,none,3.0,car or other,43.0,none,own,1.0,2.0,1.0,yes,yes,good
885,0.0,12.0,A32,education,795.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,53.0,none,own,1.0,2.0,1.0,none,yes,good
887,1.0,48.0,A32,business,15672.0,0.0,2.0,2.0,male,single,none,2.0,car or other,23.0,none,own,1.0,2.0,1.0,yes,yes,good
890,0.0,27.0,A34,business,2442.0,0.0,4.0,4.0,male,single,none,4.0,car or other,43.0,stores,own,4.0,3.0,2.0,yes,yes,bad
892,0.0,12.0,A34,car (new),2171.0,0.0,2.0,4.0,male,single,none,4.0,building,38.0,bank,own,2.0,1.0,1.0,none,no,bad
893,1.0,36.0,A34,car (used),5800.0,0.0,2.0,3.0,male,single,none,4.0,car or other,34.0,none,own,2.0,2.0,1.0,yes,yes,bad
896,0.0,21.0,A32,radio/TV,2606.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,28.0,none,rent,1.0,3.0,1.0,yes,yes,bad
899,0.0,18.0,A32,furniture/equipment,4153.0,0.0,2.0,2.0,male,single,co-applicant,3.0,car or other,42.0,none,own,1.0,2.0,1.0,none,yes,good
900,0.0,16.0,A34,car (new),2625.0,0.0,4.0,2.0,male,single,guarantor,4.0,building,43.0,bank,rent,1.0,2.0,1.0,yes,yes,good
905,0.0,12.0,A32,radio/TV,1107.0,0.0,2.0,2.0,male,single,none,2.0,real_estate,20.0,none,rent,1.0,3.0,2.0,yes,yes,bad
911,1.0,24.0,A34,furniture/equipment,4736.0,0.0,1.0,2.0,female,divorced/separated/married,none,4.0,car or other,25.0,bank,own,1.0,1.0,1.0,none,yes,good
914,0.0,24.0,A31,business,3161.0,0.0,2.0,4.0,male,single,none,2.0,building,31.0,none,rent,1.0,2.0,1.0,yes,yes,good
917,0.0,6.0,A32,car (new),14896.0,0.0,4.0,1.0,male,single,none,4.0,unknown/none,68.0,bank,own,1.0,3.0,1.0,yes,yes,good
918,0.0,24.0,A32,furniture/equipment,2359.0,1.0,0.0,1.0,male,divorced/separated/married,none,1.0,building,33.0,none,own,1.0,2.0,1.0,none,yes,good
919,0.0,24.0,A32,furniture/equipment,3345.0,0.0,4.0,4.0,male,single,none,2.0,building,39.0,none,rent,1.0,3.0,1.0,yes,yes,good
922,0.0,9.0,A32,radio/TV,1366.0,0.0,1.0,3.0,female,divorced/separated/married,none,4.0,building,22.0,none,rent,1.0,2.0,1.0,none,yes,good
923,1.0,12.0,A32,car (new),2002.0,0.0,3.0,3.0,male,single,none,4.0,building,30.0,none,rent,1.0,2.0,2.0,yes,yes,bad
924,0.0,24.0,A31,furniture/equipment,6872.0,0.0,1.0,2.0,male,divorced/separated/married,none,1.0,building,55.0,bank,own,1.0,2.0,1.0,yes,yes,good
925,0.0,12.0,A31,car (new),697.0,0.0,1.0,4.0,male,single,none,2.0,car or other,46.0,bank,own,2.0,2.0,1.0,yes,yes,good
926,0.0,18.0,A34,furniture/equipment,1049.0,0.0,1.0,4.0,female,divorced/separated/married,none,4.0,building,21.0,none,rent,1.0,2.0,1.0,none,yes,bad
927,0.0,48.0,A32,car (used),10297.0,0.0,3.0,4.0,male,single,none,4.0,unknown/none,39.0,stores,free,3.0,2.0,2.0,yes,yes,good
929,0.0,12.0,A33,car (new),1344.0,0.0,2.0,4.0,male,single,none,2.0,real_estate,43.0,none,own,2.0,1.0,2.0,none,yes,bad
930,0.0,24.0,A32,furniture/equipment,1747.0,0.0,1.0,4.0,male,single,co-applicant,1.0,building,24.0,none,own,1.0,1.0,1.0,none,no,bad
931,1.0,9.0,A32,radio/TV,1670.0,0.0,1.0,4.0,female,divorced/separated/married,none,2.0,car or other,22.0,none,own,1.0,2.0,1.0,yes,yes,good
934,0.0,12.0,A32,radio/TV,1498.0,0.0,2.0,4.0,female,divorced/separated/married,none,1.0,car or other,23.0,bank,own,1.0,2.0,1.0,none,yes,bad
935,1.0,30.0,A33,radio/TV,1919.0,1.0,1.0,4.0,male,single,none,3.0,unknown/none,30.0,stores,own,2.0,3.0,1.0,none,yes,good
936,2.0,9.0,A32,radio/TV,745.0,0.0,2.0,3.0,female,divorced/separated/married,none,2.0,real_estate,28.0,none,own,1.0,1.0,1.0,none,yes,good
937,1.0,6.0,A32,radio/TV,2063.0,0.0,1.0,4.0,male,divorced/separated/married,none,3.0,car or other,30.0,none,rent,1.0,3.0,1.0,yes,yes,bad
938,1.0,60.0,A32,education,6288.0,0.0,2.0,4.0,male,single,none,4.0,unknown/none,42.0,none,free,1.0,2.0,1.0,none,yes,good
944,0.0,15.0,A32,furniture/equipment,1845.0,0.0,1.0,4.0,female,divorced/separated/married,guarantor,1.0,building,46.0,none,rent,1.0,2.0,1.0,none,yes,bad
945,1.0,48.0,A30,car (new),8358.0,2.0,1.0,1.0,female,divorced/separated/married,none,1.0,car or other,30.0,none,own,2.0,2.0,1.0,none,yes,bad
946,0.0,24.0,A31,furniture/equipment,3349.0,2.0,1.0,4.0,male,single,none,4.0,unknown/none,30.0,none,free,1.0,2.0,2.0,yes,yes,good
950,1.0,18.0,A34,business,3590.0,0.0,0.0,3.0,male,divorced/separated/married,none,3.0,car or other,40.0,none,own,3.0,0.0,2.0,yes,yes,bad
951,0.0,36.0,A33,business,2145.0,0.0,3.0,2.0,male,single,none,1.0,car or other,24.0,none,own,2.0,2.0,1.0,yes,yes,good
952,1.0,24.0,A32,car (used),4113.0,2.0,1.0,3.0,female,divorced/separated/married,none,4.0,car or other,28.0,none,rent,1.0,2.0,1.0,none,yes,good
954,0.0,12.0,A32,car (new),1893.0,0.0,2.0,4.0,female,divorced/separated/married,guarantor,4.0,building,29.0,none,own,1.0,2.0,1.0,yes,yes,bad
955,0.0,24.0,A34,radio/TV,1231.0,3.0,4.0,4.0,female,divorced/separated/married,none,4.0,building,57.0,none,rent,2.0,3.0,1.0,yes,yes,bad
957,1.0,9.0,A34,radio/TV,1154.0,0.0,4.0,2.0,male,single,none,4.0,real_estate,37.0,none,own,3.0,1.0,1.0,none,yes,bad
958,0.0,28.0,A32,car (new),4006.0,0.0,2.0,3.0,male,single,none,2.0,car or other,45.0,none,own,1.0,1.0,1.0,none,yes,good
959,1.0,24.0,A32,furniture/equipment,3069.0,1.0,4.0,4.0,male,single,none,4.0,unknown/none,30.0,none,free,1.0,2.0,1.0,none,yes,bad
961,1.0,21.0,A33,car (new),2353.0,0.0,2.0,1.0,male,divorced/separated/married,none,4.0,building,47.0,none,own,2.0,2.0,1.0,none,yes,bad
964,1.0,6.0,A32,repairs,454.0,0.0,1.0,3.0,male,divorced/separated/married,none,1.0,building,22.0,none,own,1.0,1.0,1.0,none,yes,bad
966,1.0,27.0,A34,radio/TV,2520.0,2.0,2.0,4.0,male,single,none,2.0,building,23.0,none,own,2.0,1.0,1.0,none,yes,good
969,0.0,11.0,A34,car (new),3939.0,0.0,2.0,1.0,male,single,none,2.0,real_estate,40.0,none,own,2.0,1.0,2.0,none,yes,bad
970,1.0,15.0,A32,repairs,1514.0,1.0,2.0,4.0,male,single,guarantor,2.0,real_estate,22.0,none,own,1.0,2.0,1.0,none,yes,bad
972,0.0,24.0,A31,car (new),1193.0,0.0,0.0,1.0,female,divorced/separated/married,co-applicant,4.0,unknown/none,29.0,none,rent,2.0,0.0,1.0,none,yes,good
973,0.0,60.0,A32,business,7297.0,0.0,4.0,4.0,male,single,co-applicant,4.0,unknown/none,36.0,none,rent,1.0,2.0,1.0,none,yes,good
975,2.0,24.0,A32,radio/TV,1258.0,2.0,2.0,3.0,female,divorced/separated/married,none,3.0,car or other,57.0,none,own,1.0,1.0,1.0,none,yes,bad
976,1.0,6.0,A32,radio/TV,753.0,0.0,2.0,2.0,female,divorced/separated/married,guarantor,3.0,real_estate,64.0,none,own,1.0,2.0,1.0,none,yes,bad
979,1.0,15.0,A31,car (new),1264.0,1.0,2.0,2.0,male,divorced/separated/married,none,2.0,building,25.0,none,rent,1.0,2.0,1.0,none,yes,good
980,1.0,30.0,A34,furniture/equipment,8386.0,0.0,3.0,2.0,male,single,none,2.0,building,49.0,none,own,1.0,2.0,1.0,none,yes,good
982,2.0,21.0,A32,car (new),2923.0,1.0,2.0,1.0,female,divorced/separated/married,none,1.0,car or other,28.0,bank,own,1.0,3.0,1.0,yes,yes,bad
983,0.0,36.0,A32,car (used),8229.0,0.0,2.0,2.0,male,single,none,2.0,building,26.0,none,own,1.0,2.0,2.0,none,yes,good
985,0.0,15.0,A34,furniture/equipment,1433.0,0.0,2.0,4.0,female,divorced/separated/married,none,3.0,building,25.0,none,rent,2.0,2.0,1.0,none,yes,bad
986,2.0,42.0,A30,business,6289.0,0.0,1.0,2.0,male,divorced/separated/married,none,1.0,building,33.0,none,own,2.0,2.0,1.0,none,yes,bad
988,0.0,24.0,A32,car (used),6579.0,0.0,0.0,4.0,male,single,none,2.0,unknown/none,29.0,none,free,1.0,3.0,1.0,yes,yes,bad
989,1.0,24.0,A34,radio/TV,1743.0,0.0,4.0,4.0,male,single,none,2.0,building,48.0,none,own,2.0,1.0,1.0,none,yes,bad
993,0.0,36.0,A32,furniture/equipment,3959.0,0.0,0.0,4.0,male,single,none,3.0,building,30.0,none,own,1.0,3.0,1.0,yes,yes,bad
996,0.0,30.0,A32,car (used),3857.0,0.0,2.0,4.0,male,divorced/separated/married,none,4.0,building,40.0,none,own,1.0,3.0,1.0,yes,yes,bad
998,0.0,45.0,A32,radio/TV,1845.0,0.0,2.0,4.0,male,single,none,4.0,unknown/none,23.0,none,free,1.0,2.0,1.0,yes,yes,good
999,1.0,45.0,A34,car (used),4576.0,1.0,0.0,3.0,male,single,none,4.0,car or other,27.0,none,own,1.0,2.0,1.0,none,yes,bad
