,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,y
0,true,false,false,true,false,false,true,true,true,true,false,false,4.0,false,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
1,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
2,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
3,true,false,false,true,false,false,true,true,true,true,false,false,4.0,false,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
4,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
5,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
6,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
7,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,true,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
8,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
9,true,false,false,true,false,false,false,true,true,true,false,false,4.0,false,true,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
10,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
11,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,true,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
12,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
13,false,false,true,false,false,false,true,false,false,false,false,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
14,false,false,true,false,false,true,true,false,false,false,false,false,4.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
15,false,false,true,false,false,true,true,false,false,false,false,false,6.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
16,false,true,true,false,true,false,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
17,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
18,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
19,false,false,false,true,false,true,true,true,true,true,false,true,0.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
20,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,true,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
21,false,true,true,false,true,true,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
22,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
23,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
24,false,false,true,false,false,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
25,false,false,true,false,false,true,true,true,true,true,false,false,4.0,false,false,false,"frog, newt, toad"
26,false,false,true,false,false,true,true,true,true,true,true,false,4.0,false,false,false,"frog, newt, toad"
27,true,false,false,true,true,false,false,true,true,true,false,false,2.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
28,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
29,true,false,false,true,false,false,true,true,true,true,false,false,2.0,false,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
30,false,false,true,false,true,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
31,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
32,true,false,false,true,false,false,false,true,true,true,false,false,2.0,false,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
33,false,true,true,false,true,true,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
34,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
35,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
36,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
37,false,true,true,false,true,false,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
38,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
39,true,false,true,false,true,false,false,false,false,true,true,false,6.0,false,true,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
40,true,false,true,false,true,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
41,false,true,true,false,false,false,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
42,false,false,true,false,true,false,true,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
43,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
44,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
45,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
46,false,false,true,false,false,true,true,false,false,false,false,false,6.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
47,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
48,true,false,false,true,false,true,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
49,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
50,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
51,true,false,true,false,true,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
52,false,false,true,false,false,true,true,true,true,true,false,false,4.0,true,false,false,"frog, newt, toad"
53,false,false,true,false,false,true,true,false,false,false,false,false,8.0,false,false,true,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
54,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
55,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
56,false,true,true,false,false,false,false,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
57,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,true,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
58,false,true,true,false,false,true,true,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
59,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
60,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
61,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
62,false,false,true,false,false,false,true,true,true,true,true,false,0.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
63,true,false,true,true,false,true,true,false,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
64,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
65,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
66,false,false,false,true,false,true,true,true,true,true,false,true,0.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
67,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
68,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
69,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
70,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,true,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
71,false,true,true,false,false,false,true,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
72,false,false,false,false,false,false,true,false,false,true,true,false,8.0,true,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
73,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
74,true,false,false,true,false,true,true,true,true,true,false,true,0.0,false,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
75,true,false,false,true,false,true,true,true,true,true,false,true,2.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
76,false,false,false,false,false,true,true,true,true,false,true,false,0.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
77,false,false,true,false,false,true,true,false,false,false,true,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
78,false,true,true,false,true,true,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
79,false,true,true,false,true,true,true,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
80,false,false,true,false,false,false,true,true,true,true,false,false,0.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
81,false,false,true,false,false,false,false,false,false,true,false,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
82,false,false,true,false,false,true,false,true,true,false,false,true,0.0,true,false,false,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
83,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
84,true,false,false,true,false,false,false,true,true,true,false,false,2.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
85,false,false,true,false,false,true,true,false,false,false,false,false,5.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
86,false,false,true,false,false,true,true,true,true,false,true,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
87,false,true,true,false,true,true,false,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
88,false,false,true,false,false,false,false,false,false,true,false,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
89,false,false,true,false,false,true,false,true,true,true,false,false,4.0,false,false,false,"frog, newt, toad"
90,false,false,true,false,false,false,false,false,true,true,false,false,4.0,true,false,true,"pitviper, seasnake, slowworm, tortoise, tuatara"
91,false,false,true,false,false,false,true,true,true,true,false,false,4.0,true,false,false,"pitviper, seasnake, slowworm, tortoise, tuatara"
92,false,false,true,false,false,true,true,true,true,false,false,true,0.0,true,false,true,"bass, carp, catfish, chub, dogfish, haddock, herring, pike, piranha, seahorse, sole, stingray, tuna"
93,true,false,false,true,true,false,false,true,true,true,false,false,2.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
94,true,false,false,true,false,false,false,true,true,true,false,false,4.0,true,false,false,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
95,false,true,true,false,true,false,true,false,true,true,false,false,2.0,true,false,true,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
96,true,false,false,true,false,false,false,true,true,true,false,false,2.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
97,true,false,true,false,true,false,false,false,false,true,true,false,6.0,false,false,false,"flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp"
98,true,false,false,true,false,false,true,true,true,true,false,false,4.0,true,false,true,"aardvark, antelope, bear, boar, buffalo, calf, cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster, hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony, porpoise, puma, pussycat, raccoon, reindeer, seal, sealion, squirrel, vampire, vole, wallaby, wolf"
99,false,false,true,false,false,false,false,false,false,true,false,false,0.0,false,false,false,"clam, crab, crayfish, lobster, octopus, scorpion, seawasp, slug, starfish, worm"
100,false,true,true,false,true,false,false,false,true,true,false,false,2.0,true,false,false,"chicken, crow, dove, duck, flamingo, gull, hawk, kiwi, lark, ostrich, parakeet, penguin, pheasant, rhea, skimmer, skua, sparrow, swan, vulture, wren"
